"","if.bias","pi.bias","CACE.bias","piPar.bias","delta"
"1",0.0423487808103416,-0.0874081078544605,0.101901490660052,0.104990493973889,1
"2",-0.129587529463975,-0.0775607136102386,-0.133153514510107,-0.138352614570789,1
"3",0.209406252975025,0.13496551258167,0.169391729455645,0.191556640272967,1
"4",0.0215713872448861,-0.0308774575762032,0.0645355213181663,0.111455353456561,1
"5",0.12621762927306,-0.0657652819184544,0.206754774241963,0.21361677121809,1
"6",-0.226260805830067,0.0119562273368123,-0.00246665084584163,-0.0869291525333652,1
"7",-0.0773176501362956,-0.030317650517992,-0.0849519334415836,-0.0393634859019913,1
"8",-0.159384446469265,-0.05684600232607,-0.00844556095685489,0.0650364762545423,1
"9",-0.00674773079632643,-0.0129414913993639,0.039792218105397,0.0760074321728779,1
"10",0.286120329021369,0.044780966225444,0.26821236537688,0.305308124608109,1
"11",-0.0246119618836548,-0.0231024718841044,0.0658428531496483,0.0487156587829638,1
"12",0.0691365418365035,-0.128835149277278,0.0249172405744871,0.0644103921698947,1
"13",0.314951656473242,-0.000421566085653607,0.225238981240784,0.238723272718119,1
"14",0.145094378910039,0.0152900160509684,0.123065131183314,0.180801942059575,1
"15",-0.0723835647808485,-0.0518558524193175,0.0371873873515291,0.122213901587367,1
"16",-0.112357311287839,-0.0225795169335705,-0.030387242083299,-0.0486517670400982,1
"17",-0.278969388716008,-0.193587159201809,-0.256410054586519,-0.263908128582816,1
"18",0.125633901401937,0.0253820329760246,0.0349301431682347,0.0903457480892099,1
"19",0.0688722302597373,0.00919489050375705,0.118795664101657,0.150288963401972,1
"20",NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA
"34",NA,NA,NA,NA,NA
"35",NA,NA,NA,NA,NA
"36",NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA
"38",NA,NA,NA,NA,NA
"39",NA,NA,NA,NA,NA
"40",NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA
"50",NA,NA,NA,NA,NA
