"","X","if.bias","pi.bias","if2.bias","pi2.bias","delta"
"1",1,-0.0627487293699432,0.00874647582833912,-0.147234208289417,-0.0661120504360781,0.5
"2",2,-0.11672767311574,-0.0516775103161088,-0.11943763092139,-0.0254931693951739,0.5
"3",3,-0.110062245604263,-0.114935519665087,-0.0469802342442251,-0.0656786553320062,0.5
"4",4,0.0314919924708556,-0.00944600450401656,-0.0128381697846661,-0.0386269793921963,0.5
"5",5,0.0820939656273289,0.0260066830234818,0.0587618988696418,0.0118391042089576,0.5
"6",6,0.0365129825433915,-0.0595080303032705,0.0330736293192202,-0.0384433185324584,0.5
"7",7,0.0837150058250098,0.0132902499067591,0.0884750596937389,0.0310417133383098,0.5
"8",8,-0.0679771830925354,0.0515686475105782,-0.0424413135330113,0.0722456182963224,0.5
"9",9,0.0404688197157458,-0.0871111551024163,0.0515077735288586,-0.0586462055585602,0.5
"10",10,-0.107993128445178,-0.0580680295480653,-0.105056173711245,-0.0353941105630976,0.5
"11",11,-0.0400980518185514,-0.090833563574222,-0.00173846191134437,-0.0208956408201354,0.5
"12",12,0.0762559331230735,-0.0112284819721587,0.0105808479508511,-0.0325960597681715,0.5
"13",13,0.0911741570162883,0.150983145045142,-0.0381061401553939,0.024822880551451,0.5
"14",14,0.213812314115164,0.19024044694476,0.107597512873165,0.103537538423256,0.5
"15",15,0.24919713809552,0.0313532913708137,0.318916456228562,0.102343850802792,0.5
"16",16,0.0146658938513978,0.0383428462118473,0.0130882228343958,0.038220075139938,0.5
"17",17,0.0321600816486907,-0.032446677887384,0.108557799671805,0.06020857691285,0.5
"18",18,-0.230899241134888,-0.128025995853791,-0.116144689876028,-0.0289719246952363,0.5
"19",19,-0.172668664452222,0.0148018822434705,-0.169946436367648,0.0207764581241852,0.5
"20",20,0.0761253689821423,0.0598351275308377,0.0243424099685743,0.0189870639606181,0.5
"21",21,0.0366761666616933,-0.0418139348261194,0.0695282596036189,-0.0144613707554284,0.5
"22",22,-0.0559314166227928,-0.0631894156272768,-0.056778592016363,-0.0595883903799827,0.5
"23",23,0.113103980433688,0.101191122522497,0.0729298874469012,0.0654404673115388,0.5
"24",24,-0.0974195442859032,-0.00729626101917213,-0.0219882021373835,0.0606567178956995,0.5
"25",25,-0.0348746837480064,0.0893714818144057,-0.0820699055017287,0.0553185823761959,0.5
"26",26,0.0351210676965052,-0.0370454900712392,0.047629828463389,-0.0109582399540227,0.5
"27",27,-0.0247618082199374,-0.0532270584054913,-0.0344973402602741,-0.040210740384862,0.5
"28",28,0.0653258739450135,-0.0867363621095125,0.0918094517431061,-0.0540182150007198,0.5
"29",29,-0.0410949459581576,0.054817159972501,-0.0412346977333285,0.0588349458314488,0.5
"30",30,0.0626900543755616,-0.0383772628996405,0.0644871117096678,-0.00923649039332461,0.5
"31",31,-0.0999180479546041,0.0455813748759638,-0.113513793510613,0.0286778776193424,0.5
"32",32,-0.21748535359768,-0.127483969854986,-0.177332579092278,-0.06382593883052,0.5
"33",33,0.15917392048976,0.0817826013447846,0.1183449189829,0.0738712398775949,0.5
"34",34,0.177784887759554,0.0860570604801969,0.15819640466352,0.0575349142311735,0.5
"35",35,-0.184729708699251,-0.0137011669903349,-0.215891307855139,-0.0368315432853911,0.5
"36",36,-0.068789105850706,0.0199338256398407,-0.0733281036996473,0.0220232281256515,0.5
"37",37,-0.0690509699622724,-0.00170236077781352,-0.090870568061662,0.000883438210932661,0.5
"38",38,0.0883570191206523,0.0940457827472896,-0.00373337217448295,0.0105259392308411,0.5
"39",39,0.0719338646963425,0.0395109601192989,0.0870420428031469,0.0544071441757522,0.5
"40",40,-0.166617093255915,-0.0902475416709323,-0.0585650430782129,0.00910466368513249,0.5
"41",41,0.115397215261471,-0.0173314670486198,0.103169727573322,-0.0462322765200347,0.5
"42",42,-0.087372251269305,0.0141699614440575,-0.114603290960563,-0.00228505312935126,0.5
"43",43,-0.0826835642618146,-0.152938866384213,0.023342737136262,-0.0397294619369942,0.5
"44",44,-0.150554725024752,0.00809471523905617,-0.0869673980049989,0.0642961336713058,0.5
"45",45,0.155686348933638,0.120948522606136,0.0907312585549522,0.0808352324170354,0.5
"46",46,-0.0218808505251924,-0.11138672626565,0.0297123211944271,-0.0253884313798386,0.5
"47",47,-0.00267622087012695,0.0155717514748048,-0.0343637493640637,0.0115890226536617,0.5
"48",48,-0.015282070393535,-0.0544448512823845,0.0362043327783782,0.00476791100416962,0.5
"49",49,0.205367404238851,0.147109416156719,0.143921289671755,0.0972891541430299,0.5
"50",50,0.0302512460375416,-0.0810385474649496,0.0355940979054816,-0.0450319847908484,0.5
"51",51,0.184287182561272,0.124615697075424,0.0723520829004005,0.025483896337536,0.5
