"","delta","estimate","sd","numerator","denominator","truth"
"1",0,NA,NA,0,0,NA
"2",1,-0.479930375956591,0.0544058133134604,-0.0482603106589,0.100626013097053,0.404471463239245
"3",2,0.846778989396867,0.0531101654111498,0.153112861103427,0.180837822845464,0.772577072618355
"4",3,0.203353780732413,0.0497415138798832,0.0378138671011373,0.186047311923535,1.1254545909459
"5",4,-0.265089445401229,0.0505119053717311,-0.043561065953226,0.164318666604547,1.37976265102418
"6",5,0.96512536097579,0.05508324504643,0.176396843662685,0.1827928733909,1.56394047902094
"7",6,0.332885280944161,0.0546272793171741,0.0582897601744806,0.175176800787506,1.67779544726004
"8",7,-0.182297112668858,0.0468926370822529,-0.0330552241162513,0.181465272094508,1.74362189561352
"9",8,0.461524338772729,0.049635932071222,0.0895941589942745,0.194082107777836,1.76851606480112
"10",9,0.266021075812577,0.0424840561486049,0.0532065972104068,0.200172297379954,1.78247980475044
"11",10,0.537261710711718,0.0515273250741108,0.0988485626151358,0.183952089659245,1.78522757987491
