"","true.eff","delta","IF","PI"
"1",2,1,2.00962579098292,2
"2",2,1,2.01084752738223,2
"3",2,1,1.98140752679176,2
"4",2,1,1.9865951126064,2
"5",2,1,1.98785499601225,2
"6",2,1,2.09182061545999,2
"7",2,1,2.01358117192282,2
"8",2,1,2.01044677187848,2
"9",2,1,1.99913509485348,2
"10",2,1,1.95544930670757,2
"11",2,1,2.03689834335976,2
"12",2,1,2.04871346102255,2
"13",2,1,1.99073723651185,2
"14",2,1,1.87832818272866,2
"15",2,1,1.90918750346502,2
"16",2,1,2.00968593349678,2
"17",2,1,2.00915953833808,2
"18",2,1,2.00794474294595,2
"19",2,1,1.89711195677651,2
"20",2,1,1.9500822052448,2
"21",2,1,1.99624627460139,2
"22",2,1,2.03226677316568,2
"23",2,1,2.0898017873059,2
"24",2,1,2.02852316470177,2
"25",2,1,1.98649529120776,2
"26",2,1,2.07304743008535,2
"27",2,1,2.04411466442652,2
"28",2,1,2.02797387240892,2
"29",2,1,1.9864714177738,2
"30",2,1,2.04842798373364,2
"31",2,1,1.99759383292721,2
"32",2,1,1.980668740456,2
"33",2,1,2.05488627209727,2
"34",2,1,2.11125774139463,2
"35",2,1,2.06710410607084,2
"36",2,1,2.05901380828639,2
"37",2,1,1.89816421565406,2
"38",2,1,2.02558056189881,2
"39",2,1,1.9902157970674,2
"40",2,1,1.9480667085706,2
"41",2,1,2.0005882076782,2
"42",2,1,2.01227537993483,2
"43",2,1,2.03868488917443,2
"44",2,1,1.92098426657831,2
"45",2,1,2.04818385258519,2
"46",2,1,2.07455650641325,2
"47",2,1,2.02878621136622,2
"48",2,1,1.94720890328106,2
"49",2,1,1.92238555546384,2
"50",2,1,2.09861800487031,2
"51",2,1,1.93632337624883,2
"52",2,1,1.94635561299193,2
"53",2,1,1.97284130147029,2
"54",2,1,1.9892326707697,2
"55",2,1,1.93378647220239,2
"56",2,1,2.00151474261459,2
"57",2,1,2.00875205873244,2
"58",2,1,1.97553669956997,2
"59",2,1,2.060424904151,2
"60",2,1,2.01040898496959,2
"61",2,1,2.00677898292206,2
"62",2,1,2.03922314910226,2
"63",2,1,1.97882614640147,2
"64",2,1,1.92933324764922,2
"65",2,1,2.02294157846239,2
"66",2,1,1.9941248844484,2
"67",2,1,1.98457431915886,2
"68",2,1,2.02104022385909,2
"69",2,1,1.95228018762715,2
"70",2,1,1.97337512027196,2
"71",2,1,2.01935508818829,2
"72",2,1,2.00296355423061,2
"73",2,1,1.95983974811307,2
"74",2,1,1.95769400846164,2
"75",2,1,2.04727340685064,2
"76",2,1,1.98208095771679,2
